Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2020,Henry Ruggs III,21,,Alabama,71,188,4.27,42,,131,,,Alabama,SEC,3,12,40,746,18.7,7,98,1716,17.5,24,0,0,0
2020,Jerry Jeudy,20,,Alabama,73,193,4.45,35,,120,,4.53,Alabama,SEC,3,13,77,1163,15.1,10,159,2742,17.2,26,0,0,0
2020,CeeDee Lamb,20,,Oklahoma,74,198,4.5,34.5,11,124,,,Oklahoma,Big 12,3,13,62,1327,21.4,14,173,3292,19,32,0,0,0
2020,Jalen Reagor,21,,TCU,71,206,4.47,42,17,138,7.31,4.46,Texas Christian,Big 12,3,12,43,611,14.2,5,148,2248,15.2,22,0,0,0
2020,Justin Jefferson,20,,LSU,73,202,4.43,37.5,,126,,,LSU,SEC,3,15,111,1540,13.9,18,165,2415,14.6,24,0,0,0
2020,Brandon Aiyuk,21,,Arizona State,72,205,4.5,40,11,128,,,Arizona State,Pac-12,4,12,65,1192,18.3,8,98,1666,17,11,0,0,0
2020,Tee Higgins,21,,Clemson,76,216,,,,,,,Clemson,ACC,3,15,59,1167,19.8,13,135,2448,18.1,27,0,0,0
2020,Michael Pittman,22,,USC,76,223,4.52,36.5,13,121,6.96,4.14,USC,Pac-12,4,13,101,1275,12.6,11,171,2519,14.7,19,0,0,0
2020,Laviska Shenault Jr.,21,,Colorado,73,227,4.58,,17,,,,Colorado,Pac-12,3,11,56,764,13.6,4,149,1943,13,10,0,0,0
2020,KJ Hamler,20,,Penn State,69,178,,,15,,,,Penn State,Big Ten,3,13,56,904,16.1,8,98,1658,16.9,13,0,0,0
2020,Chase Claypool,21,,Notre Dame,76,238,4.42,40.5,19,126,,,Notre Dame,Ind,4,13,66,1037,15.7,13,150,2159,14.4,19,0,0,0
2020,Van Jefferson,23,,Florida,73,200,,,,,,,Florida,SEC,4,12,49,657,13.4,6,175,2159,12.3,16,0,0,0
2020,Denzel Mims,22,,Baylor,75,207,4.38,38.5,16,131,6.66,4.43,Baylor,Big 12,4,13,66,1020,15.5,12,186,2925,15.7,28,0,0,0
2020,Antonio Gibson,21,,Memphis,72,228,4.39,35,16,118,,,Memphis,American,4,14,38,735,19.3,8,44,834,19,10,0,0,0
2020,Lynn Bowden,22,,Kentucky,71,204,,,13,,,,Kentucky,SEC,3,13,185,1468,7.9,13,206,1530,7.4,13,0,0,0
2020,Bryan Edwards,21,,South Carolina,75,212,,,,,,,South Carolina,SEC,4,10,71,816,11.5,6,234,3045,13,22,0,0,0
2020,Devin Duvernay,22,,Texas,70,200,4.39,35.5,,123,7.13,4.2,Texas,Big 12,4,13,106,1386,13.1,9,176,2468,14,16,0,0,0
2019,Marquise Brown,21,8,Oklahoma,69,166,,,,,,,Oklahoma,Big 12,3,12,75,1318,17.6,10,132,2413,18.3,17,1,8,64
2019,N'Keal Harry,21,1,Arizona State,74,228,4.53,38.5,27,122,,,Arizona State,Pac-12,3,12,73,1088,14.9,9,213,2889,13.6,22,1,1,1
2019,Deebo Samuel,23,9,South Carolina,71,214,4.48,39,15,122,7.03,4.14,South Carolina,SEC,4,12,62,882,14.2,11,148,2076,14,16,1,9,81
2019,A.J. Brown,21,10,Mississippi,72,226,4.49,36.5,19,120,,,Ole Miss,SEC,3,12,85,1320,15.5,6,189,2984,15.8,19,1,10,100
2019,Mecole Hardman,20,7,Georgia,70,187,4.33,36.5,17,119,,,Georgia,SEC,3,14,35,543,15.5,7,60,961,16,11,1,7,49
2019,J.J. Arcega-Whiteside,22,1,Stanford,74,225,,,,,,,Stanford,Pac-12,4,12,63,1059,16.8,14,135,2219,16.4,28,1,1,1
2019,Parris Campbell,21,1,Ohio State,72,205,4.31,40,11,135,,4.03,Ohio State,Big Ten,4,14,90,1063,11.8,12,143,1768,12.4,15,1,1,1
2019,Andy Isabella,22,2,Massachusetts,69,188,4.31,36.5,15,121,6.95,4.15,Massachusetts,Ind,4,12,102,1698,16.6,13,231,3526,15.3,30,1,2,4
2019,D.K. Metcalf,21,8,Mississippi,75,228,4.33,40.5,27,134,7.38,4.5,Ole Miss,SEC,2,7,26,569,21.9,5,67,1228,18.3,14,1,8,64
2019,Diontae Johnson,22,6,Toledo,70,183,4.53,33.5,15,123,7.09,4.45,Toledo,MAC,3,13,49,761,15.5,8,135,2235,16.6,23,1,6,36
2019,Jalen Hurd,23,,Baylor,77,226,,,23,,,,Baylor,Big 12,4,12,48,209,4.4,3,637,2844,4.5,23,0,0,0
2019,Terry McLaurin,23,7,Ohio State,72,208,4.35,37.5,18,125,7.01,4.15,Ohio State,Big Ten,4,12,35,701,20,11,75,1251,16.7,19,1,7,49
2019,Miles Boykin,22,3,Notre Dame,76,220,4.42,43.5,12,140,6.77,4.07,Notre Dame,Ind,4,13,59,872,14.8,8,77,1206,15.7,11,1,3,9
2018,D.J. Moore,20,16,Maryland,72,210,4.42,39.5,15,132,6.95,4.07,Maryland,Big Ten,3,12,80,1033,12.9,8,146,2027,13.9,17,2,8,64
2018,Calvin Ridley,23,14,Alabama,72,189,4.43,31,15,110,6.88,4.41,Alabama,SEC,3,14,63,967,15.3,5,224,2781,12.4,19,2,7,49
2018,Courtland Sutton,22,14,SMU,75,218,4.54,35.5,18,124,6.57,4.11,SMU,American,3,13,68,1085,16,12,195,3220,16.5,31,2,7,49
2018,Dante Pettis,22,4,Washington,72,186,,,,,,,Washington,Pac-12,4,13,63,761,12.1,7,163,2256,13.8,24,2,2,4
2018,Christian Kirk,21,11,Texas A&M,70,201,4.47,35.5,20,115,7.09,4.45,Texas A&M,SEC,3,13,71,919,12.9,10,234,2856,12.2,26,2,5.5,30.25
2018,Anthony Miller,23,9,Memphis,71,201,,,22,,,,Memphis,American,4,13,96,1462,15.2,18,238,3590,15.1,37,2,4.5,20.25
2018,James Washington,21,8,Oklahoma State,71,213,4.54,34.5,14,120,7.11,4.32,Oklahoma State,Big 12,4,13,74,1549,20.9,13,226,4472,19.8,39,2,4,16
2018,Michael Gallup,21,13,Colorado State,73,205,4.51,36,10,122,6.95,4.37,Colorado State,MWC,4,13,100,1418,14.2,7,176,2690,15.3,21,2,6.5,42.25
2017,Corey Davis,22,15,West. Michigan,75,209,,,,,,,Western Michigan,MAC,4,14,97,1500,15.5,19,331,5278,15.9,52,3,5,25
2017,Mike Williams,22,15,Clemson,76,218,,32.5,15,121,,,Clemson,ACC,3,15,98,1361,13.9,11,177,2727,15.4,21,3,5,25
2017,John Ross,22,5,Washington,71,188,4.22,37,,133,,,Washington,Pac-12,3,14,81,1150,14.2,17,114,1729,15.2,22,3,1.666666667,2.777777778
2017,Curtis Samuel,20,12,Ohio State,71,196,4.31,37,18,119,7.09,4.33,Ohio State,Big Ten,3,13,97,771,7.9,8,172,1286,7.5,15,3,4,16
2017,JuJu Smith-Schuster,20,25,USC,73,215,4.54,32.5,15,120,,,USC,Pac-12,3,13,70,914,13.1,10,213,3092,14.5,25,3,8.333333333,69.44444444
2017,Taywan Taylor,22,6,Western Kentucky,71,203,4.5,33.5,13,132,6.57,4.21,Western Kentucky,CUSA,4,14,98,1730,17.7,17,253,4234,16.7,41,3,2,4
2017,ArDarius Stewart,23,1,Alabama,71,204,4.49,34,,124,,,Alabama,SEC,3,12,54,864,16,8,129,1713,13.3,12,1,1,1
2017,Carlos Henderson,22,,Louisiana Tech,71,199,4.46,36,13,131,7.18,4.35,Louisiana Tech,CUSA,3,13,82,1535,18.7,19,147,2878,19.6,28,0,0,0
2017,Chris Godwin,21,20,Penn State,73,209,4.42,36,19,126,7.01,4,Penn State,Big Ten,3,13,59,982,16.6,11,154,2421,15.7,18,3,6.666666667,44.44444444
2017,Kenny Golladay,23,21,Northern Illinois,76,218,4.5,35.5,18,120,7,4.15,Northern Illinois,MAC,4,12,87,1156,13.3,8,160,2285,14.3,18,3,7,49
2017,Amara Darboh,23,1,Michigan,74,214,4.45,36,17,124,,,Michigan,Big Ten,4,13,57,862,15.1,7,151,2062,13.7,14,1,1,1
2016,Corey Coleman,21,6,Baylor,71,194,4.42,40.5,17,129,,,Baylor,Big 12,3,12,74,1363,18.4,20,173,3009,17.4,33,3,2,4
2016,Will Fuller,21,19,Notre Dame,72,186,4.32,33.5,10,126,6.93,4.27,Notre Dame,Ind,3,13,62,1258,20.3,14,144,2512,17.4,30,4,4.75,22.5625
2016,Josh Doctson,23,9,TCU,74,202,4.5,41,14,131,6.84,4.08,Texas Christian,Big 12,4,10,78,1326,17,14,214,3177,14.8,34,4,2.25,5.0625
2016,Laquon Treadwell,20,6,Mississippi,74,221,4.52,33,12,117,,,Ole Miss,SEC,3,13,82,1153,14.1,11,202,2393,11.8,21,4,1.5,2.25
2016,Sterling Shepard,23,22,Oklahoma,70,194,4.48,41,20,123,7,4.35,Oklahoma,Big 12,4,13,86,1288,15,11,233,3482,14.9,26,4,5.5,30.25
2016,Michael Thomas,23,58,Ohio State,75,212,4.57,35,18,126,6.8,4.13,Ohio State,Big Ten,3,13,56,781,13.9,9,113,1602,14.2,18,4,14.5,210.25
2016,Tyler Boyd,21,23,Pittsburgh,73,197,4.58,34,11,119,6.9,4.35,Pitt,ACC,3,12,91,926,10.2,6,254,3361,13.2,21,4,5.75,33.0625
2016,Leonte Carroo,22,2,Rutgers,72,211,4.5,35.5,14,120,,,Rutgers,Big Ten,4,8,39,809,20.7,10,122,2373,19.5,29,3,0.6666666667,0.4444444444
2015,Amari Cooper,20,43,Alabama,73,211,4.42,33,,120,6.71,3.98,Alabama,SEC,3,14,124,1727,13.9,16,228,3463,15.2,31,5,8.6,73.96
2015,Kevin White,22,2,West Virginia,75,215,4.35,36.5,23,123,6.92,4.14,West Virginia,Big 12,4,13,109,1447,13.3,10,144,1954,13.6,15,3,0.6666666667,0.4444444444
2015,DeVante Parker,22,25,Louisville,75,209,4.45,36.5,17,125,,,Louisville,ACC,4,6,43,855,19.9,5,156,2775,17.8,33,5,5,25
2015,Nelson Agholor,21,22,USC,72,198,4.42,,12,,,,USC,Pac-12,3,13,104,1313,12.6,12,178,2572,14.4,20,5,4.4,19.36
2015,Breshad Perriman,21,11,Central Florida,74,212,,,,,,,UCF,American,3,13,50,1044,20.9,9,115,2243,19.5,16,4,2.75,7.5625
2015,Phillip Dorsett,22,15,Miami (FL),70,185,4.33,37,13,122,6.7,4.11,Miami (FL),ACC,4,12,36,871,24.2,10,121,2132,17.6,17,5,3,9
2015,Devin Smith,23,2,Ohio State,72,196,4.42,39,10,122,,4.15,Ohio State,Big Ten,4,14,33,931,28.2,12,121,2503,20.7,30,5,0.4,0.16
2015,Dorial Green-Beckham,21,7,Oklahoma,77,237,4.49,33.5,13,119,6.89,4.45,Missouri,SEC,2,14,59,883,15,12,87,1278,14.7,17,2,3.5,12.25
2015,Devin Funchess,20,21,Michigan,76,232,4.7,38.5,17,122,,,Michigan,Big Ten,3,11,62,733,11.8,4,126,1715,13.6,15,5,4.2,17.64
2015,Tyler Lockett,22,40,Kansas State,70,182,4.4,35.5,,121,6.89,4.07,Kansas State,Big 12,4,13,106,1515,14.3,11,249,3710,14.9,29,5,8,64
2015,Jaelen Strong,21,2,Arizona State,74,217,4.44,42,,123,,,Arizona State,Pac-12,3,12,82,1165,14.2,10,157,2287,14.6,17,3,0.6666666667,0.4444444444
2015,Chris Conley,22,19,Georgia,74,213,4.35,45,18,139,7.06,4.3,Georgia,SEC,4,13,36,657,18.3,8,117,1938,16.6,20,5,3.8,14.44
2015,Sammie Coates,21,4,Auburn,73,212,4.43,41,23,131,6.98,4.06,Auburn,SEC,3,12,34,741,21.8,4,82,1757,21.4,13,4,1,1
2015,Ty Montgomery,22,16,Stanford,72,221,4.55,40.5,,121,6.97,4.21,Stanford,Pac-12,4,11,61,604,9.9,3,172,2125,12.4,15,5,3.2,10.24
2014,Sammy Watkins,20,40,Clemson,73,211,4.43,34,16,126,6.95,4.34,Clemson,ACC,3,13,101,1464,14.5,12,240,3391,14.1,27,6,6.666666667,44.44444444
2014,Mike Evans,20,55,Texas A&M,77,231,4.53,37,12,,7.08,4.26,Texas A&M,SEC,2,13,69,1394,20.2,12,151,2499,16.5,17,6,9.166666667,84.02777778
2014,"Odell Beckham, Jr.",21,54,LSU,71,198,4.38,38.5,7,122,6.69,3.94,LSU,SEC,,13,59,1152,19.5,8,143,2340,16.4,12,6,9,81
2014,Brandin Cooks,20,56,Oregon State,70,189,4.33,36,16,120,6.76,3.81,Oregon State,Pac-12,3,13,128,1730,13.5,16,226,3272,14.5,24,6,9.333333333,87.11111111
2014,Kelvin Benjamin,23,23,Florida State,77,240,4.61,32.5,13,119,7.33,4.39,Florida State,ACC,2,14,54,1011,18.7,15,84,1506,17.9,19,5,4.6,21.16
2014,Marqise Lee,22,18,USC,72,192,4.52,38,,127,,4.01,USC,Pac-12,3,11,57,791,13.9,4,248,3655,14.7,29,6,3,9
2014,Jordan Matthews,21,25,Vanderbilt,75,212,4.46,35.5,21,120,6.95,4.18,Vanderbilt,SEC,4,13,112,1477,13.2,7,262,3759,14.3,24,6,4.166666667,17.36111111
2014,Paul Richardson,21,15,Colorado,72,175,4.4,38,,124,7.09,,Colorado,Pac-12,3,12,83,1343,16.2,10,156,2412,15.5,21,6,2.5,6.25
2014,Davante Adams,21,46,Fresno State,73,212,4.56,39.5,14,123,6.82,4.3,Fresno State,MWC,2,13,131,1719,13.1,24,233,3031,13,38,6,7.666666667,58.77777778
2014,Cody Latimer,21,6,Indiana,74,215,4.52,,23,,,,Indiana,Big Ten,3,12,72,1096,15.2,9,135,2042,15.1,17,6,1,1
2014,Allen Robinson,20,36,Penn State,75,220,4.6,39,,127,7,4,Penn State,Big Ten,3,12,97,1432,14.8,6,177,2479,14,17,6,6,36
2014,Jarvis Landry,21,50,LSU,71,205,4.65,28.5,12,110,,,LSU,SEC,3,13,77,1193,15.5,10,137,1809,13.2,15,6,8.333333333,69.44444444
2014,Josh Huff,22,6,Oregon,71,206,4.51,35.5,14,116,,,Oregon,Pac-12,4,13,62,1140,18.4,12,144,2366,16.4,24,3,2,4
2014,Donte Moncrief,20,20,Mississippi,74,221,4.4,39.5,13,132,7.02,4.3,Ole Miss,SEC,3,13,59,938,15.9,6,156,2371,15.2,20,6,3.333333333,11.11111111
2014,Dri Archer,22,0,Kent State,68,173,4.26,38,20,122,6.86,4.06,Kent State,MAC,4,10,68,527,7.8,6,325,2342,7.2,24,2,0,0
2013,Tavon Austin,22,28,West Virginia,68,174,4.34,32,14,120,,4.01,West Virginia,Big 12,4,13,114,1289,11.3,12,288,3413,11.9,29,7,4,16
2013,DeAndre Hopkins,20,68,Clemson,73,214,4.57,36,15,115,,4.5,Clemson,ACC,3,13,82,1405,17.1,18,206,3020,14.7,27,7,9.714285714,94.36734694
2013,Cordarrelle Patterson,21,29,Tennessee,74,216,4.42,37,,128,,,Tennessee,SEC,3,12,46,778,16.9,5,46,778,16.9,5,7,4.142857143,17.16326531
2013,Justin Hunter,21,10,Tennessee,76,196,4.44,39.5,,136,,4.33,Tennessee,SEC,3,12,73,1083,14.8,9,106,1812,17.1,18,6,1.666666667,2.777777778
2013,Robert Woods,20,51,USC,72,201,4.51,33.5,14,117,7.15,4.47,USC,Pac-12,3,13,76,846,11.1,11,252,2930,11.6,32,7,7.285714286,53.08163265
2013,Aaron Dobson,21,6,Marshall,75,210,4.37,,,,,,Marshall,CUSA,4,10,57,679,11.9,3,165,2398,14.5,24,3,2,4
2013,Terrance Williams,23,31,Baylor,74,208,4.52,32.5,11,119,7.01,4.32,Baylor,Big 12,4,13,97,1832,18.9,12,202,3334,16.5,27,6,5.166666667,26.69444444
2013,Keenan Allen,20,56,California,74,206,4.58,,,,,,California,Pac-12,3,9,61,737,12.1,6,205,2570,12.5,17,7,8,64
2013,Marquise Goodwin,22,19,Texas,69,183,4.27,,13,132,,,Texas,Big 12,4,13,26,340,13.1,3,120,1364,11.4,7,7,2.714285714,7.367346939
2013,Markus Wheaton,22,13,Oregon State,71,189,4.45,37,20,120,6.8,4.02,Oregon State,Pac-12,4,13,91,1244,13.7,11,227,2994,13.2,16,6,2.166666667,4.694444444
2013,Stedman Bailey,22,7,West Virginia,70,193,4.52,34.5,11,117,6.81,4.09,West Virginia,Big 12,3,13,114,1622,14.2,25,210,3218,15.3,41,3,2.333333333,5.444444444
2012,Justin Blackmon,22,9,Oklahoma State,73,207,4.46,,14,,,,Oklahoma State,Big 12,3,13,122,1522,12.5,18,253,3564,14.1,40,3,3,9
2012,Michael Floyd,22,31,Notre Dame,75,220,4.4,36.5,16,122,,,Notre Dame,Ind,4,13,100,1147,11.5,9,271,3686,13.6,37,7,4.428571429,19.6122449
2012,Kendall Wright,22,31,Baylor,70,196,4.49,38.5,,121,6.93,4.18,Baylor,Big 12,4,13,108,1663,15.4,14,302,4004,13.3,30,6,5.166666667,26.69444444
2012,A.J. Jenkins,22,2,Illinois,72,190,4.37,38.5,12,124,,,Illinois,Big Ten,4,13,90,1276,14.2,8,167,2432,14.6,19,3,0.6666666667,0.4444444444
2012,Stephen Hill,20,4,Georgia Tech,76,215,4.36,39.5,14,133,6.88,4.48,Georgia Tech,ACC,3,13,28,820,29.3,5,49,1248,25.5,9,3,1.333333333,1.777777778
2012,Alshon Jeffery,22,56,South Carolina,75,216,4.48,,,,,,South Carolina,SEC,3,13,49,762,15.6,8,183,3042,16.6,23,8,7,49
2012,Ryan Broyles,23,3,Oklahoma,70,192,4.57,,21,,,,Oklahoma,Big 12,4,9,83,1157,13.9,10,349,4586,13.1,45,3,1,1
2012,Rueben Randle,20,22,LSU,75,210,4.55,31,15,121,6.99,4.36,LSU,SEC,3,14,53,917,17.3,8,97,1634,16.8,13,4,5.5,30.25
2012,DeVier Posey,21,2,Ohio State,74,211,4.39,36.5,14,123,7.03,4.15,Ohio State,Big Ten,4,4,12,162,13.5,2,136,1955,14.4,18,3,0.6666666667,0.4444444444
2012,T.J. Graham,22,7,North Carolina State,71,188,4.34,33.5,8,120,6.77,4.18,North Carolina State,ACC,4,13,46,757,16.5,7,99,1453,14.7,12,4,1.75,3.0625
2012,Mohamed Sanu,22,45,Rutgers,73,211,4.62,36,19,126,6.88,4.22,Rutgers,Big East,3,13,115,1206,10.5,7,210,2263,10.8,12,8,5.625,31.640625
2012,T.Y. Hilton,22,77,Florida International,69,183,4.34,,,,,,Florida International,Sun Belt,4,13,72,1038,14.4,7,229,3531,15.4,24,8,9.625,92.640625
2011,A.J. Green,22,80,Georgia,76,211,4.48,34.5,18,126,6.91,4.21,Georgia,SEC,3,9,57,848,14.9,9,166,2619,15.8,23,8,10,100
2011,Julio Jones,22,113,Alabama,75,220,4.34,38.5,17,135,6.66,4.25,Alabama,SEC,3,13,78,1133,14.5,7,179,2653,14.8,15,9,12.55555556,157.6419753
2011,Jon Baldwin,21,4,Pittsburgh,76,228,4.49,42,20,129,7.07,4.34,Pitt,Big East,,13,53,822,15.5,5,128,2337,18.3,16,3,1.333333333,1.777777778
2011,Titus Young,21,8,Boise State,71,174,4.43,,,123,,,Boise State,WAC,4,13,71,1215,17.1,9,204,3063,15,25,2,4,16
2011,Torrey Smith,22,43,Maryland,73,204,4.41,41,19,126,6.72,4.13,Maryland,ACC,3,13,67,1055,15.7,12,152,2215,14.6,19,8,5.375,28.890625
2011,Greg Little,21,14,North Carolina,74,231,4.51,40.5,27,129,6.8,4.21,North Carolina,ACC,3,13,29,166,5.7,1,166,805,4.8,6,4,3.5,12.25
2011,Randall Cobb,20,68,Kentucky,70,191,4.46,33.5,16,115,7.08,4.34,Kentucky,SEC,3,13,55,424,7.7,5,228,1313,5.8,22,9,7.555555556,57.08641975
2011,Austin Pettis,22,8,Boise State,75,209,4.56,33.5,14,120,6.68,3.88,Boise State,WAC,4,13,71,951,13.4,10,229,2838,12.4,39,4,2,4
2011,Leonard Hankerson,22,12,Miami (FL),73,209,4.4,36,14,117,6.94,4.21,Miami (FL),ACC,4,13,72,1156,16.1,13,134,2160,16.1,22,5,2.4,5.76
2011,Vincent Brown,22,9,San Diego State,71,187,4.68,33.5,12,121,6.64,4.25,San Diego State,MWC,4,13,69,1352,19.6,10,209,3110,14.9,23,5,1.8,3.24
2011,Jerrel Jernigan,21,2,Troy,69,185,4.46,37.5,11,124,7.07,4.25,Troy,Sun Belt,4,13,84,822,9.8,6,262,3128,11.9,18,4,0.5,0.25
2010,Demaryius Thomas,22,81,Georgia Tech,75,224,4.52,,,,,,Georgia Tech,ACC,3,14,46,1154,25.1,8,120,2339,19.5,15,10,8.1,65.61
2010,Dez Bryant,21,71,Oklahoma State,74,225,4.52,,,,,,Oklahoma State,Big 12,3,3,17,323,19,4,147,2425,16.5,29,8,8.875,78.765625
2010,Arrelious Benn,21,8,Illinois,73,219,4.57,37,20,118,,,Illinois,Big Ten,3,12,38,490,12.9,2,159,2221,14,7,8,1,1
2010,Golden Tate,21,69,Notre Dame,70,199,4.42,35,17,120,7.12,4.34,Notre Dame,Ind,3,12,93,1496,16.1,15,157,2707,17.2,26,10,6.9,47.61
2010,Damian Williams,21,10,USC,73,197,4.52,38,19,118,6.79,4.24,USC,Pac-10,,12,70,1010,14.4,6,147,2114,14.4,17,5,2,4
